PlayerUnique,total_expected_votes
"Amartey, Joel",0.005581548
"Bice, Riley",0.014503209
"Blakey, Nick",0.040073614
"Curnow, Charlie",0.007399848
"Grundy, Brodie",0.36907633
"Gulden, Errol",0.133431788
"Heeney, Isaac",0.99763662
"Jordon, James",0.001153261
"Lloyd, Jake",0.001942795
"McCartin, Tom",0.01392512
"McDonald, Logan",0.000372252
"McInerney, Justin",1.72892668
"Melican, Lewis",0.000787135
"Mills, Callum",0.012504239
"Papley, Tom",0.000114419
"Rampe, Dane",0.009574691
"Roberts, Matt",0.091016899
"Rosas, Malcolm",0.000156252
"Rowbottom, James",0.507406871
"Serong, Jai",0.011946045
"Sheldrick, Angus",0.098699157
"Warner, Chad",0.567748085
"Wicks, Sam",0.001728649
"Ainsworth, Ben",0.000503434
"Chesser, Campbell",1.48482E-05
"Cripps, Patrick",0.001381276
"Dean, Harry",0.000303469
"Florent, Oliver",0.007669566
"Fogarty, Lachie",2.24887E-05
"Hayward, Will",3.13776E-05
"Hewett, George",0.001132936
"Hollands, Elijah",0.00036432
"Hollands, Oliver",0.000525238
"Kemp, Brodie",0.000298749
"Lord, Cooper",0.002979703
"McGovern, Mitch",0.002032659
"McKay, Harry",0.001949388
"Moir, Ashton",0.000176108
"Pittonet, Marc",0.142026316
"Reidy, Liam",1.07136E-05
"Saad, Adam",0.000677054
"Smith, Jagga",0.035853737
"Walsh, Sam",0.60426486
"Weitering, Jacob",0.001025597
"Williams, Zac",0.002595268
"Young, Lewis",0.002930652
"Adams, Oscar",0.001038517
"Anderson, Noah",1.30327697
"Andrew, Mac",0.119166665
"Clohesy, Sam",0.002270975
"Collins, Sam",0.043692827
"Davies, Alex",0.029512152
"Farrar, Jy",3.12722E-05
"Graham, Will",0.00039986
"Humphrey, Bailey",0.421409387
"Jeffrey, Joel",0.020411507
"King, Ben",0.070813004
"Lombard, Leo",0.018745881
"Long, Ben",0.003343446
"Miller, Touk",1.23578434
"Noble, John",0.5221304
"Petracca, Christian",2.508386066
"Powell, Wil",0.014444404
"Read, Ethan",0.000308899
"Rioli, Daniel",0.148269834
"Uwland, Bodhi",0.017158249
"Uwland, Zeke",0.006451961
"Weller, Lachie",0.007003438
"Witts, Jarrod",0.008127293
"Atkins, Tom",0.044875535
"Blicavs, Mark",0.000268141
"Bruhn, Tanner",0.034189985
"Clark, Jhye",0.00015842
"Close, Brad",2.3339E-05
"De Koning, Sam",0.000321028
"Dempsey, Oliver",0.703952565
"Guthrie, Zach",0.00016755
"Henry, Jack",0.000786395
"Henry, Oliver",0.001741753
"Holmes, Max",0.33586565
"Humphries, Lawson",0.000202329
"Knevitt, Mitch",7.23173E-05
"Mannagh, Shaun",0.000162429
"Martin, Jack",5.66237E-05
"Miers, Gryan",0.001341655
"Mullin, Oisin",1.39575E-05
"Neale, Shannon",1.63143E-05
"OConnor, Mark",0.000110096
"OSullivan, Connor",0.005275175
"Smith, Bailey",0.020578355
"Stewart, Tom",0.010368863
"Worpel, James",0.006759766
"Angwin, Ryan",0.00085427
"Ash, Lachie",0.087393091
"Briggs, Kieren",0.018335105
"Brown, Callum",0.000275038
"Buckley, Jack",0.003022224
"Callaghan, Finn",1.17375979
"Coniglio, Stephen",0.391964734
"Delana, Josaia",0.000102924
"Fonti, Joe",0.211066949
"Gothard, Phoenix",0.001305849
"Greene, Toby",0.210934508
"Gruzewski, Max",0.001227851
"Himmelberg, Harry",0.005030378
"Hogan, Jesse",0.029981159
"Idun, Connor",0.009407979
"Laverde, Jayden",0.00713488
"OHalloran, Xavier",8.60493E-05
"Oliver, Clayton",1.2436554
"Riccardi, Jake",1.05480345
"Rowston, Harry",0.00204464
"Stringer, Jake",1.20731754
"Thomas, Harvey",0.005576203
"Whitfield, Lachie",0.088174537
"Amon, Karl",0.001803307
"Barrass, Tom",0.000588384
"Battle, Josh",0.005214191
"Butler, Sam",0.000559582
"Chol, Mabior",0.000656218
"DAmbrosio, Massimo",4.38421E-05
"Ginnivan, Jack",0.006045258
"Gunston, Jack",0.003428292
"Hardwick, Blake",0.000204969
"Impey, Jarman",0.000560429
"Lewis, Mitch",0.000136635
"Macdonald, Connor",0.008204524
"Maginness, Finn",4.74287E-06
"Meek, Lloyd",0.001474328
"Moore, Dylan",2.48774E-05
"Morrison, Harry",0.000192697
"Nash, Conor",0.00591266
"Newcombe, Jai",0.030206936
"Scrimshaw, Jack",0.000410481
"Sicily, James",0.067835417
"Ward, Josh",8.16407E-05
"Watson, Nick",0.001242226
"Weddle, Josh",0.000623918
"Allen, Oscar",6.50478E-05
"Andrews, Harris",0.020830671
"Ashcroft, Levi",0.000277036
"Ashcroft, Will",0.93312615
"Bailey, Zac",0.000371595
"Berry, Jarrod",0.000417995
"Cameron, Charlie",0.322981953
"Coleman, Keidean",0.000302966
"Dunkley, Josh",0.00559854
"Fletcher, Jaspa",0.002461722
"Fort, Darcy",0.001897974
"Gallop, Ty",0.000250963
"Gardiner, Darcy",0.000146725
"Lester, Ryan",0.011494263
"Lohmann, Kai",0.00738025
"McCluggage, Hugh",4.20512E-06
"Morris, Logan",0.008227171
"Neale, Lachie",1.96037105
"Rayner, Cam",4.60058E-05
"Reville, Bruce",0.001151616
"Wilmot, Darcy",0.002015127
"Zakostelsky, Zane",4.01688E-06
"Zorko, Dayne",0.218072397
"Baker, Oskar",0.000385674
"Bontempelli, Marcus",1.05878459
"Bramble, Lachlan",0.019660152
"Budarick, Connor",0.464467977
"Croft, Jordan",7.92827E-06
"Dale, Bailey",0.008868367
"Darcy, Sam",0.005585241
"Davidson, Sam",0.000184145
"English, Tim",0.83857183
"Freijah, Joel",0.105484636
"Hynes, Cooper",0.000247098
"Jaques, Lachie",0.004363833
"Jones, Arthur",2.27932E-05
"Kennedy, Matthew",0.75503274
"Khamis, Buku",0.000587774
"Liberatore, Tom",0.60569847
"Lobb, Rory",0.025515554
"Naughton, Aaron",0.00466467
"ODonnell, James",0.001449013
"Richards, Ed",2.19975987
"Sellwood, Michael",0.001405401
"West, Rhylee",0.000420564
"Williams, Bailey",0.063805547
"Boxshall, Hugh",4.89882E-06
"Caminiti, Anthony",0.000483162
"Carroll, Jack",5.36E-05
"De Koning, Tom",0.116069068
"Flanders, Sam",0.04016448
"Garcia, Hugo",0.011958997
"Hall, Max",0.000293797
"Higgins, Jack",0.000231112
"Hill, Bradley",0.005448552
"Macrae, Jack",0.000210577
"Marshall, Rowan",4.83571E-05
"Owens, Mitch",0.000417264
"Phillipou, Mattaes",0.000103168
"Ryan, Liam",7.59058E-05
"Sharman, Cooper",0.000376214
"Silvagni, Jack",0.003478304
"Sinclair, Jack",0.260433515
"Tauru, Alix",2.38293E-05
"Wanganeen-Milera, Nasiah",0.00103886
"Wilkie, Callum",0.095986591
"Wilson, Darcy",0.003041584
"Windhager, Marcus",0.054972632
"Wood, Mason",7.3272E-05
"Allan, Edward",0.000353392
"Buller, Jack",0.000102521
"Cameron, Darcy",1.1788256
"Crisp, Jack",0.078622687
"Daicos, Josh",1.84310569
"Daicos, Nick",2.33871857
"de Goey, Jordan",0.190611499
"Elliott, Jamie",0.002996023
"Frampton, Billy",0.052050343
"Houston, Dan",0.122458863
"Lipinski, Patrick",0.004340389
"Long, Ned",0.000534759
"Maynard, Brayden",0.32570253
"McCreery, Beau",0.010898522
"McStay, Daniel",0.000527087
"Membrey, Tim",3.59423E-05
"Parker, Wil",0.001459354
"Pendlebury, Scott",0.015236326
"Perryman, Harry",0.018890474
"Quaynor, Isaac",0.136123273
"Schultz, Lachie",0.122393737
"Sidebottom, Steele",0.000478353
"Steele, Roan",0.000487421
